Sector,Ticker,Company,Market Cap ($M USD),P/E
Utilities,AEP,American Electric Power,"$41,353.00 ",17.5
Utilities,AES,AES,"$15,746.00 ",30.3
Utilities,NI,NiSource,"$9,908.00 ",23.2
Utilities,ATO,Atmos Energy,"$12,420.00 ",18.3
Utilities,NEE,NextEra Energy,"$173,962.00 ",74.6
Utilities,CMS,CMS Energy,"$17,837.00 ",21.5
Utilities,ETR,Entergy,"$21,116.00 ",17
Utilities,SRE,Sempra Energy,"$39,660.00 ",35.3
Utilities,SO,Southern,"$66,514.00 ",22.5
Utilities,PPL,PPL,"$21,350.00 ",25.2
Utilities,D,Dominion Energy,"$60,272.00 ",23.5
Utilities,PNW,Pinnacle West Capital,"$7,478.00 ",13.2
Utilities,AEE,Ameren,"$21,919.00 ",22.3
Utilities,AWK,American Water Works Co,"$31,463.00 ",41.2
Utilities,ES,Eversource Energy,"$29,316.00 ",24.8
Utilities,EVRG,Evergy,"$14,963.00 ",17
Utilities,DTE,DTE Energy,"$21,597.00 ",21.2
Utilities,DUK,Duke Energy,"$77,103.00 ",26
Utilities,FE,FirstEnergy,"$21,472.00 ",20.9
Utilities,ED,Consolidated Edison,"$28,423.00 ",24
Utilities,LNT,Alliant Energy,"$14,334.00 ",22.6
Utilities,EIX,Edison,"$25,087.00 ",32.5
Utilities,EXC,Exelon,"$52,968.00 ",31.7
Utilities,NRG,NRG Energy,"$8,968.00 ",3.7
Utilities,XEL,Xcel Energy,"$35,331.00 ",22.5
Utilities,WEC,WEC Energy Gr,"$28,543.00 ",21.8
Technology,AKAM,Akamai Technologies,"$18,564.00 ",31.4
Technology,CSCO,Cisco Systems,"$235,173.00 ",20.7
Technology,SNPS,Synopsys,"$54,270.00 ",74.3
Technology,QRVO,Qorvo,"$16,764.00 ",15.6
Technology,AMAT,Applied Materials,"$136,540.00 ",23.6
Technology,AMD,Advanced Micro Devices,"$195,524.00 ",49.8
Technology,QCOM,Qualcomm,"$205,787.00 ",23.3
Technology,PTC,PTC,"$13,003.00 ",27.4
Technology,CTSH,Cognizant Tech Solns,"$41,867.00 ",22.4
Technology,MU,Micron Technology,"$96,357.00 ",16.8
Technology,CTXS,Citrix Systems,"$10,272.00 ",32.7
Technology,ANET,Arista Networks,"$9,725.00 ",51.4
Technology,ANSS,Ansys,"$34,701.00 ",74.8
Technology,TRMB,Trimble,"$21,719.00 ",39.3
Technology,IT,Gartner,"$26,726.00 ",40.3
Technology,GRMN,Garmin,"$26,778.00 ",23.8
Technology,APH,Amphenol,"$49,594.00 ",35
Technology,JKHY,Jack Henry & Associates,"$11,270.00 ",35.4
Technology,INTU,Intuit,"$196,704.00 ",91.4
Technology,AVGO,Broadcom,"$232,291.00 ",41.8
Technology,MSI,Motorola Solutions,"$43,939.00 ",35.8
Technology,NLOK,NortonLifeLock,"$14,723.00 ",16.8
Technology,INTC,Intel,"$204,761.00 ",9.7
Technology,MSFT,Microsoft,"$2,527,410.00 ",37.7
Technology,IBM,IBM,"$106,213.00 ",22.9
Technology,JNPR,Juniper Networks,"$10,352.00 ",70.8
Technology,HPQ,HP,"$41,409.00 ",6.7
Technology,ORCL,Oracle,"$254,068.00 ",19.8
Technology,HPE,Hewlett Packard,"$19,110.00 ",18.7
Technology,KEYS,Keysight Technologies,"$35,968.00 ",41.3
Technology,KLAC,KLA,"$62,747.00 ",23.5
Technology,LDOS,Leidos Holdings,"$12,707.00 ",16.7
Technology,GLW,Corning,"$32,821.00 ",38.1
Technology,IPGP,IPG Photonics,"$8,698.00 ",33.5
Technology,AAPL,Apple,"$2,628,961.00 ",28.5
Technology,FTV,Fortive,"$27,333.00 ",15.9
Technology,TXN,Texas Instruments,"$179,514.00 ",24.9
Technology,BR,Broadridge Financial Soln,"$20,460.00 ",37.6
Technology,TER,Teradyne,"$25,175.00 ",29.1
Technology,FLT,Fleetcor Technologies,"$17,292.00 ",22
Technology,NXPI,NXP Semiconductors,"$59,552.00 ",39.5
Technology,DXC,DXC Technology,"$7,824.00 ",20.3
Technology,FISV,Fiserv,"$64,352.00 ",50.6
Technology,FFIV,F5,"$14,148.00 ",43.3
Technology,ACN,Accenture,"$231,066.00 ",39.9
Technology,ADBE,Adobe,"$327,107.00 ",57.1
Technology,ADI,Analog Devices,"$98,453.00 ",53.1
Technology,TEL,TE Connectivity,"$52,010.00 ",23.5
Technology,LRCX,Lam Research,"$95,818.00 ",23
Technology,CDNS,Cadence Design Systems,"$51,738.00 ",75.3
Technology,CDW,CDW,"$26,438.00 ",27.4
Technology,NTAP,NetApp,"$20,465.00 ",24.3
Technology,MCHP,Microchip Technology,"$46,257.00 ",74.2
Technology,TDY,Teledyne Technologies,"$20,149.00 ",42.9
Technology,ADSK,Autodesk,"$57,413.00 ",44.1
Technology,ZBRA,Zebra Technologies,"$32,426.00 ",38.8
Technology,XLNX,Xilinx,"$57,775.00 ",72.3
Technology,SWKS,Skyworks Solutions,"$25,583.00 ",17.3
Technology,STX,Seagate Tech Hldgs,"$23,167.00 ",15.4
Technology,WDC,Western Digital,"$18,377.00 ",12.3
Technology,VRSN,VeriSign,"$27,154.00 ",45.1
Real Estate,CCI,Crown Castle Intl,"$80,316.00 ",61.4
Real Estate,AVB,AvalonBay Communities,"$33,646.00 ",33.3
Real Estate,SPG,Simon Property Group,"$52,558.00 ",26
Real Estate,CBRE,CBRE Group,"$32,783.00 ",22.9
Real Estate,VTR,Ventas,"$19,607.00 ",91
Real Estate,WELL,Welltower,"$35,709.00 ",74.7
Real Estate,WY,Weyerhaeuser,"$29,025.00 ",11.7
Real Estate,IRM,Iron Mountain,"$13,568.00 ",21.3
Real Estate,DLR,Digital Realty Trust,"$47,899.00 ",71.6
Real Estate,DRE,Duke Realty,"$22,641.00 ",24.5
Real Estate,EQR,Equity Residential,"$32,333.00 ",31.6
Real Estate,ESS,Essex Property Trust,"$22,552.00 ",50.4
Real Estate,PSA,Public Storage,"$58,197.00 ",39.6
Real Estate,O,Realty Income,"$39,489.00 ",54.9
Real Estate,MAA,Mid-America Apartment,"$24,178.00 ",56.4
Real Estate,EXR,Extra Space Storage,"$27,186.00 ",37.7
Real Estate,FRT,Federal Realty Investment,"$9,799.00 ",41.7
Real Estate,AMT,American Tower,"$121,567.00 ",48.6
Real Estate,KIM,Kimco Realty,"$14,267.00 ",12
Real Estate,BXP,Boston Properties,"$17,235.00 ",54
Real Estate,PLD,Prologis,"$113,323.00 ",57.8
Real Estate,REG,Regency Centers,"$12,114.00 ",36.5
Real Estate,ARE,Alexandria Real Estate,"$31,807.00 ",30.2
Industrials,LHX,L3Harris Technologies,"$42,125.00 ",28.4
Industrials,GNRC,Generac Hldgs,"$26,786.00 ",51.6
Industrials,TT,Trane Technologies,"$45,841.00 ",34.4
Industrials,MMM,3M,"$101,552.00 ",17.4
Industrials,CMI,Cummins,"$31,076.00 ",14.3
Industrials,GPN,Global Payments,"$34,892.00 ",38
Industrials,ADP,Automatic Data Processing,"$99,404.00 ",37.4
Industrials,TXT,Textron,"$16,044.00 ",21.4
Industrials,GWW,W.W. Grainger,"$25,532.00 ",28.3
Industrials,FAST,Fastenal,"$35,050.00 ",39.6
Industrials,DOV,Dover,"$24,735.00 ",26.6
Industrials,UNP,Union Pacific,"$153,942.00 ",25.6
Industrials,ALLE,Allegion,"$11,541.00 ",25.3
Industrials,AME,AMETEK,"$32,387.00 ",35.1
Industrials,EMR,Emerson Electric,"$54,052.00 ",23.8
Industrials,UPS,United Parcel Service,"$178,249.00 ",28
Industrials,URI,United Rentals,"$25,845.00 ",21.6
Industrials,J,Jacobs Engineering Group,"$18,837.00 ",46.8
Industrials,AOS,A.O. Smith,"$12,869.00 ",28
Industrials,JCI,Johnson Controls Intl,"$55,191.00 ",37.4
Industrials,VRSK,Verisk Analytics,"$36,930.00 ",53.4
Industrials,PAYX,Paychex,"$44,615.00 ",36.9
Industrials,AVY,Avery Dennison,"$17,844.00 ",24.2
Industrials,HII,Huntington Ingalls Indus,"$7,278.00 ",10.9
Industrials,WAB,Westinghouse Air Brake,"$17,275.00 ",38.4
Industrials,NLSN,Nielsen Holdings,"$7,242.00 ",61
Industrials,OTIS,Otis Worldwide,"$35,501.00 ",29.8
Industrials,HON,Honeywell International,"$142,957.00 ",26.7
Industrials,NOC,Northrop Grumman,"$56,073.00 ",12.5
Industrials,EFX,Equifax,"$34,655.00 ",50.4
Industrials,WM,Waste Management,"$69,787.00 ",40.5
Industrials,FDX,FedEx,"$63,906.00 ",12.8
Industrials,EXPD,Expeditors International,"$21,473.00 ",18.7
Industrials,ODFL,Old Dominion Freight Line,"$41,083.00 ",44.1
Industrials,XYL,Xylem,"$22,324.00 ",48.5
Industrials,CHRW,C.H. Robinson Worldwide,"$12,429.00 ",16.9
Industrials,HWM,Howmet Aerospace,"$12,175.00 ",43.1
Industrials,CTAS,Cintas,"$44,953.00 ",41.1
Industrials,IEX,IDEX,"$17,822.00 ",41.6
Industrials,INFO,IHS Markit,"$51,900.00 ",83.8
Industrials,DE,Deere,"$107,929.00 ",18.3
Industrials,CARR,Carrier Global,"$48,510.00 ",22.4
Industrials,CAT,Caterpillar,"$107,260.00 ",21
Industrials,PH,Parker Hannifin,"$39,741.00 ",21.6
Industrials,PCAR,PACCAR,"$29,898.00 ",17.2
Industrials,MAS,Masco,"$16,436.00 ",37.5
Industrials,PNR,Pentair,"$12,708.00 ",25.5
Industrials,NSC,Norfolk Southern,"$65,644.00 ",23.1
Industrials,IR,Ingersoll Rand,"$24,373.00 ",50.2
Industrials,PWR,Quanta Services,"$17,338.00 ",32
Industrials,ETN,Eaton Corp,"$66,717.00 ",32.6
Industrials,RHI,Robert Half International,"$12,776.00 ",24.6
Industrials,ROK,Rockwell Automation,"$39,501.00 ",29.4
Industrials,ROP,Roper Technologies,"$50,788.00 ",45.6
Industrials,RSG,Republic Services,"$43,831.00 ",36.4
Industrials,RTX,Raytheon Technologies,"$124,142.00 ",35.7
Industrials,JBHT,JB Hunt Transport Servs,"$20,599.00 ",31.1
Industrials,LMT,Lockheed Martin,"$94,106.00 ",15.7
Industrials,SNA,Snap-on,"$11,433.00 ",14.5
Industrials,CSX,CSX,"$79,004.00 ",22.5
Industrials,ITW,Illinois Tool Works,"$74,737.00 ",27.7
Industrials,CPRT,Copart,"$35,105.00 ",35.7
Industrials,GD,General Dynamics,"$54,291.00 ",16.7
Industrials,GE,General Electric,"$108,055.00 ",74.5
Industrials,SWK,Stanley Black & Decker,"$30,022.00 ",16.6
Industrials,TDG,TransDigm Gr,"$32,276.00 ",56.3
Healthcare,ZBH,Zimmer Biomet Holdings,"$25,791.00 ",31.4
Healthcare,ABBV,AbbVie,"$206,646.00 ",28.3
Healthcare,ABC,AmerisourceBergen,"$25,027.00 ",16.3
Healthcare,ABMD,Abiomed,"$14,518.00 ",97.9
Healthcare,ABT,Abbott Laboratories,"$226,973.00 ",31.8
Healthcare,JNJ,Johnson & Johnson,"$420,556.00 ",23.9
Healthcare,HSIC,Henry Schein,"$10,229.00 ",16.8
Healthcare,HUM,Humana,"$55,008.00 ",20.7
Healthcare,INCY,Incyte,"$15,543.00 ",29.1
Healthcare,CRL,Charles River,"$18,909.00 ",48.5
Healthcare,PFE,Pfizer,"$294,113.00 ",15.2
Healthcare,ALGN,Align Tech,"$50,029.00 ",68.5
Healthcare,ZTS,Zoetis,"$105,766.00 ",53.9
Healthcare,AMGN,Amgen,"$114,959.00 ",21
Healthcare,MTD,Mettler-Toledo Intl,"$35,511.00 ",48.2
Healthcare,ANTM,Anthem,"$101,021.00 ",18.7
Healthcare,CVS,CVS Health,"$121,426.00 ",16.1
Healthcare,STE,Steris,"$22,673.00 ",79.8
Healthcare,IQV,IQVIA Holdings,"$50,947.00 ",67.8
Healthcare,IDXX,IDEXX Laboratories,"$53,529.00 ",72.2
Healthcare,BAX,Baxter Intl,"$38,066.00 ",31.9
Healthcare,BDX,"Becton, Dickinson","$69,961.00 ",35.6
Healthcare,COO,Cooper Companies,"$18,793.00 ",6.5
Healthcare,OGN,Organon,"$7,763.00 ",5.4
Healthcare,BIIB,Biogen,"$34,682.00 ",22.6
Healthcare,BIO,Bio-Rad Laboratories,"$22,114.00 ",3.4
Healthcare,A,Agilent Technologies,"$46,443.00 ",39
Healthcare,CNC,Centene,"$43,044.00 ",60.1
Healthcare,TFX,Teleflex,"$14,472.00 ",33.8
Healthcare,BSX,Boston Scientific,"$54,989.00 ",50
Healthcare,TMO,Thermo Fisher Scientific,"$255,238.00 ",30.1
Healthcare,CAH,Cardinal Health,"$13,376.00 ",12.2
Healthcare,DGX,Quest Diagnostics,"$19,222.00 ",9.4
Healthcare,CTLT,Catalent,"$22,931.00 ",42
Healthcare,CERN,Cerner,"$21,436.00 ",42.9
Healthcare,DHR,Danaher,"$233,323.00 ",42
Healthcare,UHS,Universal Health Services,"$9,746.00 ",9.8
Healthcare,MDT,Medtronic,"$148,310.00 ",31.8
Healthcare,UNH,UnitedHealth Group,"$425,715.00 ",28.1
Healthcare,REGN,Regeneron Pharmaceuticals,"$69,990.00 ",10.5
Healthcare,ISRG,Intuitive Surgical,"$119,581.00 ",72.1
Healthcare,SYK,Stryker,"$91,874.00 ",49
Healthcare,VRTX,Vertex Pharmaceuticals,"$48,335.00 ",22.8
Healthcare,EW,Edwards Lifesciences,"$69,119.00 ",47.5
Healthcare,DVA,DaVita,"$9,874.00 ",11.1
Healthcare,GILD,Gilead Sciences,"$88,621.00 ",12
Healthcare,LLY,Eli Lilly,"$243,767.00 ",38.8
Healthcare,RMD,ResMed,"$37,439.00 ",75.2
Healthcare,LH,Laboratory Corp,"$27,936.00 ",10.4
Healthcare,WAT,Waters,"$20,826.00 ",30.6
Healthcare,WBA,Walgreens Boots Alliance,"$39,886.00 ",20
Healthcare,PKI,PerkinElmer,"$23,373.00 ",18.5
Healthcare,ILMN,Illumina,"$57,957.00 ",60.8
Healthcare,WST,West Pharmaceutical Servs,"$33,141.00 ",55.4
Healthcare,HCA,HCA Healthcare,"$71,510.00 ",11.8
Healthcare,MRK,Merck & Co,"$189,167.00 ",22.5
Healthcare,CI,Cigna,"$66,155.00 ",8.5
Healthcare,XRAY,Dentsply Sirona,"$10,643.00 ",25.6
Healthcare,HOLX,Hologic,"$19,099.00 ",10.5
Healthcare,MRNA,Moderna,"$149,411.00 ",22.6
